boundary_id,date,bin,n
8_11,2024-12-19,1225,0
8_11,2024-12-19,1275,0
8_11,2024-12-19,1325,0
8_11,2024-12-19,1375,0
8_11,2024-12-19,1425,0
8_11,2024-12-19,1475,0
8_11,2024-12-19,1525,0
8_11,2024-12-19,1575,0
8_11,2024-12-19,1625,0
8_11,2024-12-19,1675,0
8_11,2024-12-19,1725,1
8_11,2024-12-19,1775,1
8_11,2024-12-19,1825,0
8_11,2024-12-19,1875,7
8_11,2024-12-19,1925,0
8_11,2024-12-19,1975,0
8_11,2024-12-22,-1975,0
8_11,2024-12-22,-1925,0
8_11,2024-12-22,-1875,0
8_11,2024-12-22,-1825,0
8_11,2024-12-22,-1775,0
8_11,2024-12-22,-1725,0
8_11,2024-12-22,-1675,1
8_11,2024-12-22,-1625,0
8_11,2024-12-22,-1575,2
8_11,2024-12-22,-1525,1
8_11,2024-12-22,-1475,0
8_11,2024-12-22,-1425,0
8_11,2024-12-22,-1375,0
8_11,2024-12-22,-1325,0
8_11,2024-12-22,-1275,0
8_11,2024-12-22,-1225,1
8_11,2024-12-22,-1175,0
8_11,2024-12-22,-1125,0
8_11,2024-12-22,-1075,0
8_11,2024-12-22,-1025,1
8_11,2024-12-22,-975,1
8_11,2024-12-22,-925,3
8_11,2024-12-22,-875,3
8_11,2024-12-22,-825,1
8_11,2024-12-22,-775,0
8_11,2024-12-22,-725,0
8_11,2024-12-22,-675,0
8_11,2024-12-22,-625,0
8_11,2024-12-22,-575,0
8_11,2024-12-22,-525,0
8_11,2024-12-22,-475,3
8_11,2024-12-22,-425,0
8_11,2024-12-22,-375,5
8_11,2024-12-22,-325,1
8_11,2024-12-22,-275,0
8_11,2024-12-22,-225,0
8_11,2024-12-22,-175,0
8_11,2024-12-22,-125,1
8_11,2024-12-22,-75,0
8_11,2024-12-22,-25,0
8_11,2024-12-22,25,0
8_11,2024-12-22,75,2
8_11,2024-12-22,125,0
8_11,2024-12-22,175,1
8_11,2024-12-22,225,0
8_11,2024-12-22,275,0
8_11,2024-12-22,325,0
8_11,2024-12-22,375,1
8_11,2024-12-22,425,3
8_11,2024-12-22,475,0
8_11,2024-12-22,525,0
8_11,2024-12-22,575,0
8_11,2024-12-22,625,1
8_11,2024-12-22,675,2
8_11,2024-12-22,725,0
8_11,2024-12-22,775,0
8_11,2024-12-22,825,0
8_11,2024-12-22,875,0
8_11,2024-12-22,925,0
8_11,2024-12-22,975,0
8_11,2024-12-22,1025,0
8_11,2024-12-22,1075,0
8_11,2024-12-22,1125,0
8_11,2024-12-22,1175,0
8_11,2024-12-22,1225,1
8_11,2024-12-22,1275,1
8_11,2024-12-22,1325,0
8_11,2024-12-22,1375,0
8_11,2024-12-22,1425,1
8_11,2024-12-22,1475,0
8_11,2024-12-22,1525,2
8_11,2024-12-22,1575,1
8_11,2024-12-22,1625,0
8_11,2024-12-22,1675,0
8_11,2024-12-22,1725,0
8_11,2024-12-22,1775,0
8_11,2024-12-22,1825,0
8_11,2024-12-22,1875,1
8_11,2024-12-22,1925,1
