crime_id,date,polygon_id,shift_id,treated,boundary_id,boundary_distance,running_var,treated_polygon_id,control_polygon_id,x_magna_m,y_magna_m,is_duplicate_record,in_estimation_sample,within_distance_screen,treated_side,abs_distance_m,log_distance_m,distance_km
SUR-00723712-25,2025-04-22,9,2,1,9_12,1915.6470361584045,-1915.6470361584045,9,12,992818.3062213124,1012580.64291312,0,1,1,treated,1915.6470361584045,7.558332603066526,-1.9156470361584048
SUR-00723729-25,2025-04-22,9,2,1,9_12,1928.2235423861664,-1928.2235423861664,9,12,992836.4555176646,1012582.4787698964,0,1,1,treated,1928.2235423861664,7.564872891306221,-1.9282235423861664
SUR-00453316-25,2025-03-13,9,2,0,9_12,1994.889689079834,1994.889689079834,12,9,992902.8669998038,1012615.2018897634,0,1,1,control,1994.889689079834,7.59884518935212,1.994889689079834
SUR-00576298-25,2025-03-31,9,2,0,9_12,1936.5454007134333,1936.5454007134333,12,9,992928.553489971,1012520.7538087708,0,1,1,control,1936.5454007134333,7.56917719357925,1.9365454007134333
SUR-00671002-25,2025-04-13,9,2,1,9_12,1907.5027754186665,-1907.5027754186665,9,12,992941.8804651308,1012473.311882362,0,1,1,treated,1907.5027754186665,7.554074326425079,-1.9075027754186664
SUR-00690369-25,2025-04-17,9,2,0,5_9,1974.186258037963,1974.186258037963,5,9,993907.6736680304,1013714.6247937576,0,1,1,control,1974.186258037963,7.588417980755838,1.974186258037963
SUR-00418810-25,2025-03-08,9,2,1,5_9,1979.5080920391715,-1979.5080920391715,9,5,993865.6107581416,1013722.0592227684,0,1,1,treated,1979.5080920391715,7.591108702910312,-1.9795080920391717
SUR-00701694-25,2025-04-18,9,2,0,9_12,1749.226182353123,1749.226182353123,12,9,994851.2112975935,1010946.4727258588,0,1,1,control,1749.226182353123,7.467500305624806,1.749226182353123
SUR-00701649-25,2025-04-18,9,2,0,9_12,1749.0145525460532,1749.0145525460532,12,9,994856.0916729124,1010942.7391624968,0,1,1,control,1749.0145525460532,7.467379382623586,1.7490145525460532
SUR-00751225-25,2025-04-27,9,2,0,9_12,1759.433640374622,1759.433640374622,12,9,994832.4994270868,1010971.9422733583,0,1,1,control,1759.433640374622,7.4733154442605,1.759433640374622
SUR-00634252-25,2025-04-09,9,2,0,9_12,1597.8007190838716,1597.8007190838716,12,9,995276.504739436,1010695.6540417892,0,1,1,control,1597.8007190838716,7.37700907660181,1.5978007190838717
SUR-00393716-25,2025-03-04,9,2,0,9_12,1756.5650857978958,1756.5650857978958,12,9,995985.297841766,1010759.8997690108,0,1,1,control,1756.5650857978958,7.471684656170031,1.7565650857978958
SUR-00575295-25,2025-03-31,9,2,0,9_12,1849.9265144268768,1849.9265144268768,12,9,996033.664563434,1010841.7587301102,0,1,1,control,1849.9265144268768,7.523441611313709,1.8499265144268768
SUR-00412787-25,2025-03-08,9,2,1,9_12,1866.344473896949,-1866.344473896949,9,12,994425.2650538394,1011292.3333291996,0,1,1,treated,1866.344473896949,7.532272633162503,-1.866344473896949
SUR-00578581-25,2025-03-31,9,2,0,9_12,1860.127694735192,1860.127694735192,12,9,994377.0710256642,1011301.4454263538,0,1,1,control,1860.127694735192,7.528937870481278,1.860127694735192
SUR-00755549-25,2025-04-27,9,2,0,9_12,1782.6382470877195,1782.6382470877195,12,9,994507.925003459,1011172.3329502856,0,1,1,control,1782.6382470877195,7.48641051628194,1.7826382470877196
SUR-00662925-25,2025-04-13,9,2,1,9_12,1847.8525354779483,-1847.8525354779483,9,12,994537.55115188,1011230.6627404692,0,1,1,treated,1847.8525354779483,7.522320474544085,-1.8478525354779485
SUR-00577912-25,2025-03-31,9,2,0,9_12,446.4281631229825,446.4281631229825,12,9,996145.4269197984,1008768.6049219988,0,1,1,control,446.4281631229825,6.10351599549458,0.4464281631229825
SUR-00539668-25,2025-03-26,9,2,1,9_12,116.97305196375216,-116.97305196375216,9,12,995607.401242904,1008995.401016074,0,1,1,treated,116.97305196375216,4.770456225195996,-0.1169730519637521
SUR-00413296-25,2025-03-08,9,2,1,9_12,241.1285071177852,-241.1285071177852,9,12,995280.0309845932,1009310.5348547233,0,1,1,treated,241.1285071177852,5.489468606362722,-0.2411285071177852
SUR-00579486-25,2025-03-31,9,2,0,9_12,512.2686276995177,512.2686276995177,12,9,995092.071883994,1009510.6783445508,0,1,1,control,512.2686276995177,6.2407993488586,0.5122686276995176
SUR-00449206-25,2025-03-13,9,2,0,9_12,931.964180527272,931.964180527272,12,9,995385.2585777536,1010034.6341663768,0,1,1,control,931.964180527272,6.838366808392541,0.931964180527272
SUR-00602563-25,2025-04-04,9,2,1,9_12,726.2992252095364,-726.2992252095364,9,12,996218.3882828596,1009172.6247842376,0,1,1,treated,726.2992252095364,6.589337981862989,-0.7262992252095364
SUR-00602563-25,2025-04-04,9,2,1,9_12,726.2992252095364,-726.2992252095364,9,12,996218.3882828596,1009172.6247842376,1,1,1,treated,726.2992252095364,6.589337981862989,-0.7262992252095364
SUR-00720725-25,2025-04-22,9,2,1,9_12,370.3285011497377,-370.3285011497377,9,12,996114.2005529556,1008676.235388447,0,1,1,treated,370.3285011497377,5.917087118672701,-0.3703285011497377
SUR-00753851-25,2025-04-27,9,2,0,9_12,606.4270961967055,606.4270961967055,12,9,995921.7636214824,1009416.119617244,0,1,1,control,606.4270961967055,6.409232161752809,0.6064270961967055
SUR-00753914-25,2025-04-27,9,2,0,9_12,629.2035383708775,629.2035383708775,12,9,995942.0537085702,1009426.6017022072,0,1,1,control,629.2035383708775,6.446042843986684,0.6292035383708775
SUR-00598677-25,2025-04-04,9,2,1,5_9,1785.4590166726057,-1785.4590166726057,9,5,995420.7033884788,1013111.4723037552,0,1,1,treated,1785.4590166726057,7.487990736630835,-1.7854590166726056
SUR-00598655-25,2025-04-04,9,2,1,5_9,1784.0289465154206,-1784.0289465154206,9,5,995421.8095698426,1013112.4221359828,0,1,1,treated,1784.0289465154206,7.487189910617502,-1.7840289465154209
SUR-00417905-25,2025-03-08,9,2,1,5_9,1953.6917363100977,-1953.6917363100977,9,5,995427.0631891566,1012893.2608546768,0,1,1,treated,1953.6917363100977,7.577987780349947,-1.9536917363100976
SUR-00664509-25,2025-04-13,9,2,1,5_9,1640.6847145289569,-1640.6847145289569,9,5,995591.4721862412,1013161.0561086456,0,1,1,treated,1640.6847145289569,7.40347825849935,-1.640684714528957
SUR-00700681-25,2025-04-18,9,2,0,9_12,224.3007825581568,224.3007825581568,12,9,996091.715482496,1008440.5084629328,0,1,1,control,224.3007825581568,5.417436320837212,0.2243007825581568
SUR-00510332-25,2025-03-22,9,2,0,9_12,1784.586431075236,1784.586431075236,12,9,994943.2880325032,1010921.7793000432,0,1,1,control,1784.586431075236,7.487502173073909,1.7845864310752362
SUR-00635433-25,2025-04-09,9,2,0,9_12,1889.7499335417808,1889.7499335417808,12,9,995889.0776400458,1010928.865953011,0,1,1,control,1889.7499335417808,7.544728819587007,1.889749933541781
SUR-00602730-25,2025-04-04,9,2,1,9_12,1793.3170911471905,-1793.3170911471905,9,12,994728.5843858469,1011076.9331442872,0,1,1,treated,1793.3170911471905,7.492379777918305,-1.7933170911471903
SUR-00719821-25,2025-04-22,9,2,1,9_12,1808.4723224322115,-1808.4723224322115,9,12,994584.5443354252,1011167.4155253856,0,1,1,treated,1808.4723224322115,7.500790547187569,-1.8084723224322117
SUR-01187168-24,2024-07-03,9,2,1,9_12,1791.2860965876853,-1791.2860965876853,9,12,996128.24208182,1010740.51748854,0,1,1,treated,1791.2860965876853,7.491247232905497,-1.7912860965876851
SUR-00920756-24,2024-05-23,9,2,0,9_12,1970.8786429131785,1970.8786429131785,12,9,996057.2860630248,1010961.7630389387,0,1,1,control,1970.8786429131785,7.586741993164032,1.9708786429131784
SUR-01748603-24,2024-09-23,9,2,0,9_12,1879.453023965197,1879.453023965197,12,9,995756.703880858,1010948.606384302,0,1,1,control,1879.453023965197,7.539267996989595,1.879453023965197
SUR-00830755-24,2024-05-09,9,2,1,9_12,1868.4552344464191,-1868.4552344464191,9,12,995769.382322868,1010934.9134615154,0,1,1,treated,1868.4552344464191,7.533402348929311,-1.8684552344464191
SUR-00830864-24,2024-05-09,9,2,1,9_12,1868.4552344464191,-1868.4552344464191,9,12,995769.382322868,1010934.9134615154,0,1,1,treated,1868.4552344464191,7.533402348929311,-1.8684552344464191
SUR-02030876-24,2024-11-05,9,2,1,9_12,1998.6615314802089,-1998.6615314802089,9,12,995865.7359374232,1011047.0702260884,0,1,1,treated,1998.6615314802089,7.600733210960453,-1.9986615314802088
SUR-00711819-24,2024-04-21,9,2,1,9_12,1972.9938087782105,-1972.9938087782105,9,12,995924.7183076236,1011005.4607279276,0,1,1,treated,1972.9938087782105,7.587814083604623,-1.9729938087782104
SUR-00711586-24,2024-04-21,9,2,1,9_12,1972.9938087782105,-1972.9938087782105,9,12,995924.7183076236,1011005.4607279276,0,1,1,treated,1972.9938087782105,7.587814083604623,-1.9729938087782104
SUR-01309008-24,2024-07-21,9,2,1,9_12,1965.5566309593185,-1965.5566309593185,9,12,995948.8499271031,1010990.9312362304,0,1,1,treated,1965.5566309593185,7.584039389300753,-1.9655566309593184
SUR-00412523-25,2025-03-08,9,2,1,5_9,1826.1724819583008,-1826.1724819583008,9,5,995208.703054885,1013248.1056579248,0,1,1,treated,1826.1724819583008,7.510524959124062,-1.8261724819583007
SUR-00569854-25,2025-03-30,9,2,0,5_9,1839.1870234387875,1839.1870234387875,5,9,995813.5634893297,1012729.4496467672,0,1,1,control,1839.1870234387875,7.517622488610968,1.8391870234387877
SUR-00632047-25,2025-04-08,9,2,0,5_9,1635.6554982492005,1635.6554982492005,5,9,995946.8636846292,1012895.3793761454,0,1,1,control,1635.6554982492005,7.400410108216848,1.6356554982492004
SUR-00692742-25,2025-04-17,9,2,0,5_9,1649.2072878504175,1649.2072878504175,5,9,996037.3039546186,1012714.1057024612,0,1,1,control,1649.2072878504175,7.408656188004217,1.6492072878504176
SUR-00944710-24,2024-05-26,9,2,0,8_9,671.3001650921016,671.3001650921016,8,9,999178.412629518,1010046.6833167222,0,1,1,control,671.3001650921016,6.510704915038104,0.6713001650921016
SUR-00798893-24,2024-05-04,9,2,0,5_9,808.5888891181395,808.5888891181395,5,9,999163.0143434476,1010292.240085877,0,1,1,control,808.5888891181395,6.696526574523686,0.8085888891181395
SUR-00798894-24,2024-05-04,9,2,0,5_9,808.5888891181395,808.5888891181395,5,9,999163.0143434476,1010292.240085877,0,1,1,control,808.5888891181395,6.696526574523686,0.8085888891181395
SUR-00834300-24,2024-05-10,9,2,0,9_10,934.8277384605238,934.8277384605238,10,9,999033.364097944,1009636.7763687792,0,1,1,control,934.8277384605238,6.841431419433856,0.9348277384605238
SUR-00973613-24,2024-05-31,9,2,0,5_9,962.998982809191,962.998982809191,5,9,999274.2752678748,1010152.1142662576,0,1,1,control,962.998982809191,6.871090239432801,0.962998982809191
SUR-00477797-25,2025-03-16,9,2,0,8_9,774.1196575507252,774.1196575507252,8,9,999217.21779217,1010206.9401179638,0,1,1,control,774.1196575507252,6.653017414275027,0.7741196575507252
SUR-01178537-24,2024-07-01,9,2,0,8_9,667.9064389916987,667.9064389916987,8,9,999398.1675689778,1010214.2778142968,0,1,1,control,667.9064389916987,6.505644198317675,0.6679064389916987
SUR-00070423-25,2025-01-13,9,2,1,9_10,327.3711094770162,-327.3711094770162,9,10,999437.1919458472,1010231.038389682,0,1,1,treated,327.3711094770162,5.794144400130467,-0.3273711094770162
SUR-00300833-25,2025-02-19,9,2,0,9_10,472.7542484252425,472.7542484252425,10,9,999244.6196507036,1010275.5369907035,0,1,1,control,472.7542484252425,6.160688724008654,0.4727542484252425
SUR-01011707-24,2024-06-05,9,2,1,9_10,396.28510932575216,-396.28510932575216,9,10,999328.359817456,1010277.134127858,0,1,1,treated,396.28510932575216,5.984654182444758,-0.3962851093257521
SUR-01794544-24,2024-10-01,9,2,0,9_10,476.226121065476,476.226121065476,10,9,999234.0385685083,1010291.7848630396,0,1,1,control,476.226121065476,6.167990426918212,0.4762261210654759
SUR-01732243-24,2024-09-21,9,2,0,5_9,818.7913694244861,818.7913694244861,5,9,999274.590630202,1010299.5329337266,0,1,1,control,818.7913694244861,6.709049880355009,0.8187913694244862
SUR-00426505-25,2025-03-09,9,2,0,9_10,404.09397788688136,404.09397788688136,10,9,999307.500456577,1010303.111057418,0,1,1,control,404.09397788688136,6.004119084353595,0.4040939778868813
SUR-00669171-25,2025-04-13,9,2,1,9_10,418.2455684176336,-418.2455684176336,9,10,999288.866585643,1010310.828722318,0,1,1,treated,418.2455684176336,6.038456830385398,-0.4182455684176336
SUR-00712516-24,2024-04-21,9,2,1,9_10,473.5847659079216,-473.5847659079216,9,10,999170.4774268576,1010351.2729400134,0,1,1,treated,473.5847659079216,6.1624402446831175,-0.4735847659079216
SUR-00824837-24,2024-05-08,9,2,0,8_9,480.4853589661481,480.4853589661481,8,9,999199.951187013,1009820.2836739462,0,1,1,control,480.4853589661481,6.176875823644302,0.4804853589661481
SUR-00706432-24,2024-04-20,9,2,0,8_9,463.42671464221024,463.42671464221024,8,9,999214.5565458492,1009810.092317158,0,1,1,control,463.42671464221024,6.140803773238592,0.4634267146422102
SUR-00320528-25,2025-02-22,9,2,0,5_9,1361.328390416952,1361.328390416952,5,9,999258.6219695688,1009746.6119168276,0,1,1,control,1361.328390416952,7.216950566617223,1.361328390416952
SUR-00320528-25,2025-02-22,9,2,0,5_9,1361.328390416952,1361.328390416952,5,9,999258.6219695688,1009746.6119168276,1,1,1,control,1361.328390416952,7.216950566617223,1.361328390416952
SUR-00663555-25,2025-04-13,9,2,1,8_9,386.30607339029297,-386.30607339029297,9,8,999258.6219695688,1009746.6119168276,0,1,1,treated,386.30607339029297,5.959215267756632,-0.386306073390293
SUR-01730997-24,2024-09-21,9,2,0,5_9,1460.992681467815,1460.992681467815,5,9,999205.4402751751,1009641.1224941644,0,1,1,control,1460.992681467815,7.287555634461227,1.460992681467815
SUR-02158733-24,2024-11-24,9,2,0,9_10,672.8423128792627,672.8423128792627,10,9,999314.184151212,1009685.8417974426,0,1,1,control,672.8423128792627,6.512996126387634,0.6728423128792628
SUR-00729397-25,2025-04-23,9,2,0,9_10,780.1677161942429,780.1677161942429,10,9,999283.4340231206,1009535.4266639436,0,1,1,control,780.1677161942429,6.660789872232357,0.7801677161942429
SUR-01424425-24,2024-08-08,9,2,1,9_10,399.0430008421075,-399.0430008421075,9,10,999459.0005990248,1009973.9391183768,0,1,1,treated,399.0430008421075,5.991572043435314,-0.3990430008421075
SUR-00892707-24,2024-05-18,9,2,1,9_10,494.8187637996584,-494.8187637996584,9,10,999321.9443040844,1010101.647668872,0,1,1,treated,494.8187637996584,6.206210464386497,-0.4948187637996584
SUR-00675398-24,2024-04-16,9,2,0,5_9,1089.947439494366,1089.947439494366,5,9,999445.4343173323,1010066.6542199912,0,1,1,control,1089.947439494366,6.994801808223754,1.089947439494366
SUR-00768573-24,2024-04-30,9,2,1,9_10,480.9246758346451,-480.9246758346451,9,10,999358.1719563068,1010013.2483578027,0,1,1,treated,480.9246758346451,6.177787827636534,-0.4809246758346451
SUR-00322264-25,2025-02-22,9,2,0,5_9,1116.6715062908293,1116.6715062908293,5,9,999233.96691966,1009990.0945604512,0,1,1,control,1116.6715062908293,7.019002787902817,1.1166715062908292
SUR-00442798-25,2025-03-12,9,2,0,5_9,1164.2729724838584,1164.2729724838584,5,9,999270.825035502,1009947.2473405926,0,1,1,control,1164.2729724838584,7.060710649698175,1.1642729724838583
SUR-00774686-25,2025-04-30,9,2,0,8_9,523.0836093691383,523.0836093691383,8,9,999445.4343173323,1010066.6542199912,0,1,1,control,523.0836093691383,6.261651231457488,0.5230836093691383
SUR-01126221-24,2024-06-23,9,2,1,8_9,348.1705459511007,-348.1705459511007,9,8,999337.8049802424,1009760.7042854404,0,1,1,treated,348.1705459511007,5.85556047318895,-0.3481705459511007
SUR-00650031-24,2024-04-13,9,2,0,9_10,541.62701775536,541.62701775536,10,9,999350.4409128276,1009872.587409446,0,1,1,control,541.62701775536,6.296422192120764,0.54162701775536
SUR-00650011-24,2024-04-13,9,2,0,9_10,541.62701775536,541.62701775536,10,9,999350.4409128276,1009872.587409446,0,1,1,control,541.62701775536,6.296422192120764,0.54162701775536
SUR-01126212-24,2024-06-23,9,2,1,8_9,335.5832349570971,-335.5832349570971,9,8,999359.63109657,1009761.9404060304,0,1,1,treated,335.5832349570971,5.818845473496381,-0.3355832349570971
SUR-02351633-24,2024-12-20,9,2,1,8_9,348.0762702783324,-348.0762702783324,9,8,999322.0244357468,1009748.0782048008,0,1,1,treated,348.0762702783324,5.855290437805616,-0.3480762702783324
SUR-00407868-25,2025-03-07,9,2,0,8_9,280.503486073216,280.503486073216,8,9,999430.984121934,1009748.2078184312,0,1,1,control,280.503486073216,5.640144831422127,0.2805034860732159
